,id,Headline,Description,Date,href
0,0,DPP supporters celebrate victory in Taiwan election,Democratic Progressive Party supporters celebrate at a rally as their opponents concede in the Taiwan election.,2024-01-13,https://www.bbc.com/news/world-asia-67967549
1,1,Why the Taiwan election matters to the world,It will redefine Taiwan's relationship with China and have implications for key allies like the US.,2024-01-13,https://www.bbc.com/news/world-asia-67871587
3,3,"Taiwan elects pro-sovereignty leader, angering Beijing",The move has angered Beijing which reviles Mr Lai and his pro-sovereignty party.,2024-01-13,https://www.bbc.com/news/world-asia-67920532
4,4,China says US 'gravely wrong' to congratulate Taiwan leader,Beijing accuses the US of violating its commitment to maintain only unofficial ties with Taiwan.,2024-01-14,https://www.bbc.com/news/world-asia-67974541
5,5,China warns Taiwan voters and condemns 'brazen' US,"China says the ruling party candidate is a risk to relations, then condemns US ""brazen chattering"".",2024-01-11,https://www.bbc.com/news/world-asia-67949003
6,6,China tells US it will 'never compromise' on Taiwan,"The US and China have held their first talks since 2021, days before a crucial election in Taiwan.",2024-01-10,https://www.bbc.com/news/world-asia-china-67931596
7,7,Taiwan just chose a president China loathes. What now?,"How William Lai manages Beijing, and how Beijing reacts to him, will determine his presidency.",2024-01-13,https://www.bbc.com/news/world-asia-67920530
8,8,The Taiwan party asking voters to choose war or peace,"Promising peace with China, the once-dominant KMT faces a difficult balancing act in upcoming polls.",2024-01-08,https://www.bbc.com/news/world-asia-67909071
9,9,It's not war Taiwan's young voters worry about - it's jobs,"With high home prices and stagnant wages, young voters care more about the economy than Beijing's threats.",2024-01-11,https://www.bbc.com/news/world-asia-67945643
10,10,Chinese satellite triggers missile alert in Taiwan,"Mobile phone users across Taiwan got an ""air raid alert"", underlining jitters ahead of pivotal elections.",2024-01-09,https://www.bbc.com/news/world-asia-67920168
11,11,The dark horse who has shaken up Taiwan's politics,Ko Wen-je has irrevocably altered Taiwan's political landscape by appealing to Taiwan's young voters.,2024-01-14,https://www.bbc.com/news/world-asia-67966731
12,12,Nauru cuts ties with Taiwan in favour of China,Taiwan loses one of its few official allies just days after a presidential election.,2024-01-15,https://www.bbc.com/news/world-asia-67978185
13,13,The Taiwan that China wants is vanishing,Taiwan has become what Beijing has always dreaded: a separate place with a separate people.,2024-01-10,https://www.bbc.com/news/world-asia-67920287
14,14,The dark rumours trying to destroy Taiwan's trust in US,"Beijing is pushing ""US scepticism"" to drive a wedge between Taiwan and its biggest ally, say analysts.",2024-01-08,https://www.bbc.com/news/world-asia-67891869
15,15,Love and longing across the Taiwan Strait: The view from China,"Beijing has made its position clear on Taiwan, but what do the country's citizens want?",2024-01-10,https://www.bbc.com/news/world-asia-china-67931901
16,16,How popcorn chicken and bento showcase Taiwan's thorny politics,Unique flavour combinations and profiles represent how Taiwan's unique identity is starting to take shape.,2024-01-06,https://www.bbc.com/news/world-asia-67874131
17,17,Xi vows 'reunification' ahead of Taiwan polls,The Chinese leader's New Year's Eve message comes just weeks ahead of Taiwan's crucial general election.,2024-01-01,https://www.bbc.com/news/world-asia-china-67855477
18,18,The three men vying to be Taiwan's next president,The race to succeed the outgoing Tsai Ing-wen comes at a low point in US-China relations.,2024-01-05,https://www.bbc.com/news/world-asia-67758997
19,19,The worshippers caught between China and Taiwan,"Many Taiwanese follow religions with deep ties to China, which delights Beijing but worries Taipei.",2023-12-29,https://www.bbc.com/news/world-asia-67779220
20,20,China denies pressuring Taiwan rock stars,Reports allege Beijing asked Mayday to make pro-China comments and threatened the band when they refused.,2023-12-29,https://www.bbc.com/news/world-asia-china-67838564
21,21,China is ramping up the pressure for Taiwan's election,Beijing is using aggression and propaganda to sway what could be a pivotal race for cross-strait ties.,2023-12-27,https://www.bbc.com/news/world-asia-67770782
22,22,China sanctions US defence firms over Taiwan sales,Taiwan is preparing to hold presidential and parliamentary elections on 13 January.,2024-01-08,https://www.bbc.com/news/business-67909120
31,31,Taiwan's opposition drama ends with no deal,"Despite a week-long attempt, there will be no united opposition ticket in the presidential election.",2023-11-24,https://www.bbc.com/news/world-asia-67471139
35,35,China's 'communist spies' in the dock in Taiwan,At least 16 people have been accused of spying on behalf of China in the past year.,2023-11-09,https://www.bbc.com/news/world-asia-67330238
